Date,Close/Last,Volume,Open,High,Low
03/19/2021,$158.58,425116,$158.71,$158.87,$157.11
03/18/2021,$157.71,824552,$157.43,$159.55,$157.00
03/17/2021,$153.64,319137,$152.75,$154.185,$152.075
03/16/2021,$152.10,284846,$152.00,$152.67,$151.68
03/15/2021,$152.90,397694,$153.00,$153.66,$152.26
03/12/2021,$150.53,295457,$149.77,$150.71,$149.57
03/11/2021,$150.36,498414,$150.15,$151.29,$149.00
03/10/2021,$151.88,472050,$151.07,$152.17,$150.25
03/09/2021,$151.54,349706,$150.86,$152.45,$150.56
03/08/2021,$148.23,474544,$148.57,$150.40,$147.99
